aresta,vertice1,vertice2,fluxo
1,64,8520,0 
2,64,6636,1 
3,64,3842,2 
4,64,1520,0 
5,64,9026,1 
6,8520,3165,0 
7,8520,7232,0 
8,8520,3105,0 
9,8520,3264,3 
10,8176,3989,0 
11,8176,2364,0 
12,8176,4725,0 
13,8176,825,0 
14,3989,6128,0 
15,3989,8090,0 
16,3989,131,2 
17,3989,5384,3 
18,3989,1187,1 
19,3989,2635,4 
20,3989,5690,6 
21,3989,602,2 
22,5048,2363,0 
23,5048,7951,0 
24,5048,3804,0 
25,5048,3801,0 
26,5048,779,0 
27,5048,8452,0 
28,5048,4279,0 
29,5048,3733,0 
30,5048,9049,0 
31,5048,7603,0 
32,5048,9900,0 
33,5048,8425,0 
34,2363,1834,0 
35,2363,3762,0 
36,2363,7684,0 
37,5043,2818,0 
38,5043,3082,0 
39,5043,3821,1 
40,5043,3132,5 
41,5043,8127,2 
42,2818,7662,0 
43,2818,1189,0 
44,2818,7970,0 
45,2818,9934,0 
46,2818,9531,0 
47,2818,6641,0 
48,2818,3996,0 
49,2818,6183,0 
50,2818,6152,7 
51,7612,676,0 
52,7612,5057,0 
53,7612,5829,0 
54,7612,8965,0 
55,7612,7169,0 
56,7612,5952,0 
57,7612,673,0 
58,7612,6490,0 
59,7612,2024,0 
60,7612,5272,8 
61,676,5469,2 
62,676,4920,0 
63,676,2711,7 
64,676,5143,2 
65,2867,555,0 
66,2867,7311,0 
67,2867,4011,0 
68,2867,7198,0 
69,2867,5667,0 
70,2867,8878,0 
71,2867,712,0 
72,2867,6706,0 
73,2867,7857,0 
74,555,1114,0 
75,555,576,0 
76,555,849,0 
77,555,553,0 
78,555,5124,0 
79,555,8041,0 
80,555,803,4 
81,555,8511,3 
82,609,1220,0 
83,609,1393,2 
84,609,243,3 
85,609,9933,4 
86,1220,2516,0 
87,1220,6769,0 
88,1220,1734,0 
89,1220,3425,0 
90,1220,4601,0 
91,1220,5412,0 
92,1220,8911,0 
93,1220,6291,0 
94,1220,4291,1 
95,1220,1091,1 
96,1391,8577,0 
97,1391,2062,0 
98,1391,6300,0 
99,1391,9146,0 
100,1391,560,0 
101,1391,2864,0 
102,1391,9659,0 
103,1391,1506,0 
104,1391,3310,0 
105,1391,5867,0 
106,8577,602,0 
107,8577,6851,0 
108,8577,6151,0 
109,8577,6001,0 
110,8577,7287,0 
111,8038,7247,0 
112,8038,4766,0 
113,8038,658,0 
114,8038,8622,0 
115,8038,9503,0 
116,8038,9320,0 
117,8038,9405,1 
